#,1#,2#,#3,10#,4#,5#,6#,7#
30336,submenushow,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/submenushow,55,Aman,66.29.141.137,2023-08-23T06:59:08.000000Z,2023-08-23T06:59:08.000000Z
30335,submenushow,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/submenushow,55,Aman,66.29.141.137,2023-08-23T06:59:08.000000Z,2023-08-23T06:59:08.000000Z
30334,add-edit-sub-child-menu,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/add-edit-sub-child-menu,55,Aman,66.29.141.137,2023-08-23T06:59:07.000000Z,2023-08-23T06:59:07.000000Z
30333,add-edit-sub-child-menu,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/add-edit-sub-child-menu,55,Aman,66.29.141.137,2023-08-23T06:59:07.000000Z,2023-08-23T06:59:07.000000Z
30332,dropdown,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/dropdown,55,Aman,66.29.141.137,2023-08-23T06:58:07.000000Z,2023-08-23T06:58:07.000000Z
30331,childmenushow,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/childmenushow,55,Aman,66.29.141.137,2023-08-23T06:57:28.000000Z,2023-08-23T06:57:28.000000Z
30330,submenushow,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/submenushow,55,Aman,66.29.141.137,2023-08-23T06:57:25.000000Z,2023-08-23T06:57:25.000000Z
30329,submenushow,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/submenushow,55,Aman,66.29.141.137,2023-08-23T06:57:21.000000Z,2023-08-23T06:57:21.000000Z
30328,submenushow,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/submenushow,55,Aman,66.29.141.137,2023-08-23T06:57:20.000000Z,2023-08-23T06:57:20.000000Z
30327,add-edit-sub-child-menu,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/add-edit-sub-child-menu,55,Aman,66.29.141.137,2023-08-23T06:57:20.000000Z,2023-08-23T06:57:20.000000Z
